,RegionName,State_x,Date,Price,County,State_y,Housing Inventory,State,UnemploymentRate
342,Mariposa County,CA,2018-06,296519,,,,CA,4.7
343,Mono County,CA,2018-06,456109,,,,CA,4.2
344,Trinity County,CA,2018-06,290735,,,,CA,5.4
345,Modoc County,CA,2018-06,136128,,,,CA,6.4
346,Sierra County,CA,2018-06,243201,,,,CA,5.4
347,Alpine County,CA,2018-06,408288,,,,CA,5.9
348,Los Angeles County,CA,2018-07,628080,Los Angeles County,CA,20744,CA,5.1
349,San Diego County,CA,2018-07,587962,San Diego County,CA,7330,CA,3.6
350,Orange County,CA,2018-07,741654,Orange County,CA,8609,CA,3.2
351,Riverside County,CA,2018-07,385293,Riverside County,CA,10934,CA,4.8
352,San Bernardino County,CA,2018-07,342624,San Bernardino County,CA,10322,CA,4.5
353,Santa Clara County,CA,2018-07,1388098,Santa Clara County,CA,2960,CA,2.8
354,Alameda County,CA,2018-07,913657,Alameda County,CA,1676,CA,3.3
355,Sacramento County,CA,2018-07,372925,Sacramento County,CA,5322,CA,4.1
356,Contra Costa County,CA,2018-07,702717,Contra Costa County,CA,3426,CA,3.4
357,Fresno County,CA,2018-07,259114,Fresno County,CA,2293,CA,7.4
358,Kern County,CA,2018-07,219122,Kern County,CA,3337,CA,8.3
359,Ventura County,CA,2018-07,607881,Ventura County,CA,3133,CA,4
360,San Francisco County,CA,2018-07,1420712,San Francisco County,CA,1077,CA,2.5
361,San Mateo County,CA,2018-07,1462312,San Mateo County,CA,1137,CA,2.4
362,San Joaquin County,CA,2018-07,366015,San Joaquin County,CA,2471,CA,6.2
363,Stanislaus County,CA,2018-07,313237,Stanislaus County,CA,1839,CA,6.8
364,Sonoma County,CA,2018-07,677412,Sonoma County,CA,1426,CA,2.9
365,Tulare County,CA,2018-07,218427,Tulare County,CA,1677,CA,9.9
366,Santa Barbara County,CA,2018-07,630375,Santa Barbara County,CA,1838,CA,3.8
367,Monterey County,CA,2018-07,571811,Monterey County,CA,1122,CA,4.8
368,Solano County,CA,2018-07,440576,Solano County,CA,1027,CA,4.1
369,Placer County,CA,2018-07,496625,Placer County,CA,2394,CA,3.3
370,San Luis Obispo County,CA,2018-07,624117,San Luis Obispo County,CA,1219,CA,3.2
371,Santa Cruz County,CA,2018-07,883650,Santa Cruz County,CA,778,CA,4.4
372,Merced County,CA,2018-07,265640,Merced County,CA,1048,CA,8.4
373,Marin County,CA,2018-07,1182732,Marin County,CA,577,CA,2.6
374,Butte County,CA,2018-07,297451,Butte County,CA,861,CA,5.2
375,Yolo County,CA,2018-07,465002,Yolo County,CA,550,CA,4.2
376,El Dorado County,CA,2018-07,464938,El Dorado County,CA,1719,CA,3.7
377,Shasta County,CA,2018-07,264130,Shasta County,CA,874,CA,5
378,Imperial County,CA,2018-07,211850,Imperial County,CA,318,CA,20.6
